title,company_name,company_website,vacancies,salary
Assistant Finance Manager ( Banking & Finance),SUNPOWER TRADING PVT LIMITED,http://www.sunpowergrp.com/contactus.html,1,66667
Telecaller Executive,Full Basket Property Services Pvt. Ltd.,http://fullbasketproperty.com,3,15000
Product Sales Executive - Bangalore,Instinct Innovations Pvt Ltd,http://www.redbook.co.in,8,35000
Inside Sales Executive,Milaap,,10,25000
Telesales Executive,Instinct Innovations Pvt Ltd,http://www.redbook.co.in,10,15000
Sales Manager,Hathway Digital Private Limited,http://www.hathway.com/,2,66667
React Native Developer,Limra Technosys Pvt Ltd,,1,66667
Relationship Officer / Relationship Manager ( West ),Shubham Housing Development Company Ltd,https://shubham.co/,15,24167
Recovery & Collection Officer - South Zone,Jana Small Finance Bank,https://www.janabank.com/,6,45834
Telesales -Trainer,Rupeek Fintech Pvt. Ltd.,https://rupeek.com/,3,40000
Delivery Boy Cyclist's || Chandigarh || - (Zomato ),Zomato,https://runnr.in,200,20000
Mean Stack Developer,TechGenies,http://www.techgenies.com,2,150000
Center Head,The Office Pass,https://www.theofficepass.com/,2,50000
Business Development Executive,Magic Bus,https://www.magicbus.org/,3,25000
Smart Distribution Officer - JAMSHEDPUR,Reliance General Insurance,https://www.reliancegeneral.co.in,9,20000
Telecaller (Retention Associate ),Rapido,http://www.rapido.bike,10,15000
Pharmacist,Medlife International Pvt Ltd,https://www.medlife.com/,10,25000
Relationship Executive / Relationship Officer / Relationship Manager (Housing Loan) - West,Jana Small Finance Bank,https://www.janabank.com/,27,32500
Machine Operator,Hira Print Solutions Pvt. Ltd,http://www.hiraprint.in,8,20000
Sales Executive (Direct Sales - Bangalore,Hathway Digital Private Limited,http://www.hathway.com/,60,20000
Manager- Corporate Finance/CA,Diemnsions Corporate Finance Services Pvt Ltd,http://www.dimensionsonline.com/default.aspx,1,108334
Field Sales Officers - Pune,PhonePe,https://www.phonepe.com/en/,85,15000
Accounts \ Finance - Executive,Arzooo go store,https://arzooo.com/,4,30000
Delivery Associate - Gurgaon,Dunzo,,400,21951
Sr. Software Developer - Core Java,CONTEXiO,https://www.contexio.co.in/,2,108334
Field Sales Executives(FOS) - UK & UP,PhonePe,https://www.phonepe.com/en/,36,20000
Delivery Boy Biker's || Mumbai || - (Shadowfax) (E Com),Shadowfax,https://shadowfax.in/,100,20000
Delivery Boy - Delhi - Dunkin Donuts,Dunkin Donuts (Jubilant FoodWorks Limited),,40,14500
Business Development Manager,Fairdeal Realtors Pvt Ltd,,20,2500
Project Manager,Jarma Wellness,http://jarmawellness.com,2,24000
Senior Backend Developer (Individual Contributor),THB,https://www.thb.co.in/,2,208334
Dot Net Developer,SHRUTI CREATION,http://www.shruticreation.com,1,15000
Phone Banking Officer - Outbound (Assistant Manager),Leading Bank,http://www.kotak.com,20,17300
Delivery Boy -Dominos -Hyderabad,Jubilant Foodworks,https://www.dominos.co.in,148,8098
Delivery Boy - Kolkata- Domino's,Jubilant Foodworks,https://www.dominos.co.in,100,12000
Customer Relationship Executive,Humain Health,https://sigtuple.com,7,33334
Store Manager,Printo,http://www.printo.in,3,25000
Senior Java Developer,Medibox,https://home.medibox.in/,1,100000
Content Writer,Simandhar Education,https://simandhareducation.com/,1,25000
Acquisition Manager-Business Banking (CASA),Leading Bank,http://www.kotak.com,60,22917
USM - Branch Banking ( BBG Retail ) - Mumbai & Delhi,ICICI Lombard,https://www.icicilombard.com/,15,49167
Sr.Manager - Corporate Fundraising & Relationships,Magic Bus,https://www.magicbus.org/,1,125000
Assistant Manager Operations,Allianz,https://www.allianz.com/en.html,1,75000
Business Analyst,Rupeelend.com,http://rupeelend.com,1,50000
Carrier Relationship Manager,TechAlpha Messaging LLC,http://www.techalphamsg.com/,2,50000
Relationship Executive / Relationship Manager (Housing Loan) - South,Jana Small Finance Bank,https://www.janabank.com/,18,29167
Sales Promoter - Hyderabad,Bata,https://www.bata.in/,35,16000
Sales Associate-Outbound,Paysense,http://www.gopaysense.com,20,25000
INVOICING EXECUTIVE,K2B Secure Solution,http://www.k2bsecure.com/,1,14000
Delivery Boy Biker's || Kanpur || - (Zomato ),Zomato,https://runnr.in,42,20000
Senior Backend Developer,Navya Network,http://www.navyanetwork.com/,1,208334
Delivery Boy Biker's || Patna || - (Zomato ),Zomato,https://runnr.in,100,20000
Delivery Boy (Zomato) - Jaipur,Zomato,https://runnr.in,20,14000
Delivery Boy -Dominos -Bangalore,Jubilant Foodworks,https://www.dominos.co.in,250,12000
Business Analyst,NTC Logistics India Private Limited,,2,2917
Delivery Boy - Zirakpur Chandigarh (PDP),Swiggy,,23,14000
Smart Distribution Officer - VARANASI,Reliance General Insurance,https://www.reliancegeneral.co.in,11,20000
Relationship Manager Executive,No Broker,https://www.nobroker.in/,50,27000
Inside Sales Executive,No Broker,https://www.nobroker.in/,50,27000
Business Development Executive - Mumbai,PhonePe,https://www.phonepe.com/en/,200,16000
Marketing Executive,Ultramax Infonet Technologies Private LTD,https://www.ultramaxit.com/about-ultramax/,2,15000
Inside Sales Executive,DocsApp,https://www.docsapp.in,4,30000
Delivery Boy - Big Basket - Groceries (Delhi & NCR),Grab a Grub Services Pvt Ltd,http://www.grab.in/,150,25000
Sales Promoter,Bata,https://www.bata.in/,15,834
Junior Business Analyst,Xmplar,http://www.xmplar.in/,3,58334
Sr. Python Developer,Doctor Insta,https://www.doctorinsta.com/,1,83334
Marketing Executive,Freshtohome,http://freshtohome.com,2,20000
Sales Promoter - Weekender,Bata,https://www.bata.in/,60,5500
Delivery Boy - Zomato - Cyclists - Delhi NCR,Zomato,https://runnr.in,376,15000
Sales Promoter - Part-timers,Bata,https://www.bata.in/,60,12000
Business Development Executive,Eco crystal Pvt Ltd,https://ecocrystal.in,2,25000
Relationship Officer,Bizloan Private Limited,https://bizloanindia.com/,6,33334
Property Relationship Officer - Bangalore,Full Basket Property Services Pvt. Ltd.,http://fullbasketproperty.com,4,30000
Customer Service Executive,No Broker,https://www.nobroker.in/,50,25000
Executive / Sr.Executive - Motor Sales ( South ),Future Generali General Insurance,,2,41667
Business Development Associate - Demand,Porter,https://theporter.in/,5,20000
Relationship Manager ( Retail),Bajaj Capital ltd.,,21,41667
Service Associate (Bangalore),Rentomojo,http://www.rentomojo.com,5,25000
HR Associate,PhonePe,https://www.phonepe.com/en/,1,45834
